 120, 15, 16, 30, 
 118, 18, 21, 36, 
 8, 21, 16, 34, 
 10, 22, 21, 45, 
 11, 21, 22, 34, 
 13, 22, 27, 45, 
 16, 21, 26, 34, 
 17, 22, 33, 45, 
 22, 21, 26, 34, 
 22, 22, 35, 45, 
 29, 21, 26, 34, 
 29, 22, 35, 45, 
 35, 21, 26, 34, 
 35, 22, 35, 45, 
 42, 21, 26, 34, 
 42, 22, 35, 45, 
 48, 21, 26, 34, 
 48, 22, 35, 45, 
 54, 21, 26, 34, 
 54, 22, 35, 45, 
 61, 21, 26, 34, 
 61, 22, 35, 45, 
 67, 21, 26, 34, 
 67, 22, 35, 45, 
 74, 21, 26, 34, 
 74, 22, 35, 45, 
 80, 21, 26, 34, 
 80, 22, 35, 45, 
 86, 21, 26, 34, 
 86, 22, 35, 45, 
 93, 21, 26, 34, 
 93, 22, 35, 45, 
 99, 21, 26, 34, 
 99, 22, 35, 45, 
 106, 21, 26, 34, 
 106, 22, 35, 45, 
 112, 21, 26, 34, 
 111, 22, 33, 45, 
 117, 21, 22, 34, 
 115, 22, 27, 45, 
 120, 21, 16, 34, 
 118, 22, 21, 45, 
 8, 30, 16, 34, 
 10, 30, 21, 46, 
 11, 30, 22, 34, 
 13, 30, 27, 46, 
 16, 30, 26, 34, 
 17, 30, 33, 46, 
 22, 30, 26, 34, 
 22, 30, 35, 46, 
 29, 30, 26, 34, 
 29, 30, 35, 46, 
 35, 30, 26, 34, 
 35, 30, 35, 46, 
 42, 30, 26, 34, 
 42, 30, 35, 46, 
 48, 30, 26, 34, 
 48, 30, 35, 46, 
 54, 30, 26, 34, 
 54, 30, 35, 46, 
 61, 30, 26, 34, 
 61, 30, 35, 46, 
 67, 30, 26, 34, 
 67, 30, 35, 46, 
 74, 30, 26, 34, 
 74, 30, 35, 46, 
 80, 30, 26, 34, 
 80, 30, 35, 46, 
 86, 30, 26, 34, 
 86, 30, 35, 46, 
 93, 30, 26, 34, 
 93, 30, 35, 46, 
 99, 30, 26, 34, 
 99, 30, 35, 46, 
 106, 30, 26, 34, 
 106, 30, 35, 46, 
 112, 30, 26, 34, 
 111, 30, 33, 46, 
 117, 30, 22, 34, 
 115, 30, 27, 46, 
 120, 30, 16, 34, 
 118, 30, 21, 46, 
 8, 38, 16, 34, 
 10, 38, 21, 46, 
 11, 38, 22, 34, 
 13, 38, 27, 46, 
 16, 38, 26, 34, 
 17, 38, 33, 46, 
 22, 38, 26, 34, 
 22, 38, 35, 46, 
 29, 38, 26, 34, 
 29, 38, 35, 46, 
 35, 38, 26, 34, 
 35, 38, 35, 46, 
 42, 38, 26, 34, 
 42, 38, 35, 46, 
 48, 38, 26, 34, 
 48, 38, 35, 46, 
 54, 38, 26, 34, 
 54, 38, 35, 46, 
 61, 38, 26, 34, 
 61, 38, 35, 46, 
 67, 38, 26, 34, 
 67, 38, 35, 46, 
 74, 38, 26, 34, 
 74, 38, 35, 46, 
 80, 38, 26, 34, 
 80, 38, 35, 46, 
 86, 38, 26, 34, 
 86, 38, 35, 46, 
 93, 38, 26, 34, 
 93, 38, 35, 46, 
 99, 38, 26, 34, 
 99, 38, 35, 46, 
 106, 38, 26, 34, 
 106, 38, 35, 46, 
 112, 38, 26, 34, 
 111, 38, 33, 46, 
 117, 38, 22, 34, 
 115, 38, 27, 46, 
 120, 38, 16, 34, 
 118, 38, 21, 46, 
 8, 47, 16, 34, 
 10, 47, 21, 46, 
 11, 47, 22, 34, 
 13, 47, 27, 46, 
 16, 47, 26, 34, 
 17, 47, 33, 46, 
 22, 47, 26, 34, 
 22, 47, 35, 46, 
 29, 47, 26, 34, 
 29, 47, 35, 46, 
 35, 47, 26, 34, 
 35, 47, 35, 46, 
 42, 47, 26, 34, 
 42, 47, 35, 46, 
 48, 47, 26, 34, 
